1102033033,Suro
1102033042,Singkohor
1102033043,Kota Baharu
1102042,Singkohor
1102042010,Pulau Banyak
1102042011,Pulau Banyak Barat
1102042020,Singkil
1102042021,Singkil Utara
1102042022,Kuala Baru
1102042030,Simpang Kanan
1102042031,Gunung Meriah
1102042032,Danau Paris
1102042033,Suro
1102042042,Singkohor
1102042043,Kota Baharu
1102043,Kota Baharu
1102043010,Pulau Banyak
1102043011,Pulau Banyak Barat
1102043020,Singkil
1102043021,Singkil Utara
1102043022,Kuala Baru
1102043030,Simpang Kanan
1102043031,Gunung Meriah
1102043032,Danau Paris
1102043033,Suro
1102043042,Singkohor
1102043043,Kota Baharu
1103,Aceh Selatan
1103010,Trumon
1103010010,Trumon
1103010011,Trumon Timur
1103010012,Trumon Tengah
1103010020,Bakongan
1103010021,Bakongan Timur
1103010022,Kota Bahagia
1103010030,Kluet Selatan
1103010031,Kluet Timur
1103010040,Kluet Utara
1103010041,Pasie Raja
1103010042,Kluet Tengah
1103010050,Tapak Tuan
1103010060,Sama Dua
1103010070,Sawang
1103010080,Meukek
1103010090,Labuhan Haji
1103010091,Labuhan Haji Timur
1103010092,Labuhan Haji Barat
1103011,Trumon Timur
1103011010,Trumon
1103011011,Trumon Timur
1103011012,Trumon Tengah
1103011020,Bakongan
1103011021,Bakongan Timur
1103011022,Kota Bahagia
1103011030,Kluet Selatan
1103011031,Kluet Timur
1103011040,Kluet Utara
1103011041,Pasie Raja
1103011042,Kluet Tengah
1103011050,Tapak Tuan
1103011060,Sama Dua
1103011070,Sawang
1103011080,Meukek
1103011090,Labuhan Haji
1103011091,Labuhan Haji Timur
1103011092,Labuhan Haji Barat
1103012,Trumon Tengah
1103012010,Trumon
1103012011,Trumon Timur
1103012012,Trumon Tengah
1103012020,Bakongan
1103012021,Bakongan Timur
1103012022,Kota Bahagia
1103012030,Kluet Selatan
1103012031,Kluet Timur
1103012040,Kluet Utara
1103012041,Pasie Raja
1103012042,Kluet Tengah
1103012050,Tapak Tuan
1103012060,Sama Dua
1103012070,Sawang
1103012080,Meukek
1103012090,Labuhan Haji
1103012091,Labuhan Haji Timur
1103012092,Labuhan Haji Barat
1103020,Bakongan
1103020010,Trumon
1103020011,Trumon Timur
1103020012,Trumon Tengah
1103020020,Bakongan
1103020021,Bakongan Timur
1103020022,Kota Bahagia
1103020030,Kluet Selatan
1103020031,Kluet Timur
1103020040,Kluet Utara
1103020041,Pasie Raja
1103020042,Kluet Tengah
1103020050,Tapak Tuan
1103020060,Sama Dua
1103020070,Sawang
1103020080,Meukek
1103020090,Labuhan Haji
1103020091,Labuhan Haji Timur
1103020092,Labuhan Haji Barat
1103021,Bakongan Timur
1103021010,Trumon
1103021011,Trumon Timur
1103021012,Trumon Tengah
1103021020,Bakongan
1103021021,Bakongan Timur
1103021022,Kota Bahagia
1103021030,Kluet Selatan
1103021031,Kluet Timur
1103021040,Kluet Utara
1103021041,Pasie Raja
1103021042,Kluet Tengah
1103021050,Tapak Tuan
1103021060,Sama Dua
1103021070,Sawang
1103021080,Meukek
1103021090,Labuhan Haji
1103021091,Labuhan Haji Timur
1103021092,Labuhan Haji Barat
1103022,Kota Bahagia
1103022010,Trumon
1103022011,Trumon Timur
1103022012,Trumon Tengah
1103022020,Bakongan
1103022021,Bakongan Timur
1103022022,Kota Bahagia
1103022030,Kluet Selatan
1103022031,Kluet Timur
1103022040,Kluet Utara
1103022041,Pasie Raja
1103022042,Kluet Tengah
1103022050,Tapak Tuan
1103022060,Sama Dua
1103022070,Sawang
1103022080,Meukek
1103022090,Labuhan Haji
